date,filepath,source,manual_topic
2011-12-16,./speeches/2011-12-16-EndIraqWar.txt,oba,national security
2012-01-06,./speeches/2012-01-06-MilitaryPolicy.txt,oba,national security
2012-01-25,./speeches/2012-01-25-StateOfTheUnion.txt,oba,multi
2012-03-27,./speeches/2012-03-27-HankukUniversity.txt,oba,international relations
2012-03-31,./speeches/2012-03-31-OilIran.txt,oba,economy
2012-04-29,./speeches/2012-04-29-WHCorrespondentsDinner.txt,oba,multi
2012-05-02,./speeches/2012-05-02-VisitsAfghanistan.txt,oba,national security
2012-05-10,./speeches/2012-05-10-SameSexMarriage.txt,oba,civil rights
2012-06-29,./speeches/2012-06-29-SupremeCourtHealthCare.txt,oba,health care
2012-07-21,./speeches/2012-07-21-AuroraShooting.txt,oba,shooting
2012-09-07,./speeches/2012-09-07-SecondNomination.txt,oba,multi
2012-10-29,./speeches/2012-10-29-HurricaneSandy.txt,oba,natural disaster
2012-11-07,./speeches/2012-11-07-ObamaWinsRe-election.txt,oba,multi
2012-12-15,./speeches/2012-12-15-SandyHook.txt,oba,shooting
2013-01-16,./speeches/2013-01-16-GunControl.txt,oba,shooting
2013-01-22,./speeches/2013-01-22-InauguralAddress.txt,oba,multi
2013-01-30,./speeches/2013-01-30-ImmigrationLaws.txt,oba,immigration
2013-02-13,./speeches/2013-02-13-StateOfTheUnion.txt,oba,multi
2013-04-16,./speeches/2013-04-16-BostonMarathon.txt,oba,terrorism
2013-04-26,./speeches/2013-04-26-BushLibrary.txt,oba,multi
2013-05-04,./speeches/2013-05-04-MexicoAddress.txt,oba,international relations
2013-06-19,./speeches/2013-06-19-BerlinSpeech.txt,oba,international relations
2013-07-14,./speeches/2013-07-14-ZimmermanAcquitted.txt,oba,civil rights
2013-08-29,./speeches/2013-08-29-LetFreedomRing.txt,oba,civil rights
2013-09-11,./speeches/2013-09-11-SyriaPolicy.txt,oba,national security
2013-10-02,./speeches/2013-10-02-GovernmentShutdown.txt,oba,economy
2013-12-06,./speeches/2013-12-06-NelsonMandelaObit.txt,oba,civil rights
2014-01-18,./speeches/2014-01-18-IntelligenceProgram.txt,oba,national security
2014-01-29,./speeches/2014-01-29-StateoftheUnion.txt,oba,multi
2014-03-07,./speeches/2014-03-07-RussiaUkraine.txt,oba,international relations
2014-03-26,./speeches/2014-03-26-NATOBelgium.txt,oba,international relations
2014-04-11,./speeches/2014-04-11-CivilRights.txt,oba,civil rights
2014-05-21,./speeches/2014-05-21-VeteransAffairs.txt,oba,national security
2014-07-01,./speeches/2014-07-01-Immigration.txt,oba,immigration
2014-08-08,./speeches/2014-08-08-IraqAirstrikes.txt,oba,national security
2014-08-12,./speeches/2014-08-12-FergusonMissouri.txt,oba,multi
2014-09-17,./speeches/2014-09-17-Ebola.txt,oba,natural disaster
2014-10-18,./speeches/2014-10-18-ConsumerFinancialProtection.txt,oba,economy
2014-11-05,./speeches/2014-11-05-MidtermElections.txt,oba,multi
2014-12-18,./speeches/2014-12-18-CubaRelations.txt,oba,international relations
2015-01-08,./speeches/2015-01-08-CharlieHebdo.txt,oba,terrorism
2015-01-21,./speeches/2015-01-21-StateoftheUnion.txt,oba,multi
2015-02-14,./speeches/2015-02-14-CybersecuritySummit.txt,oba,science
2015-03-11,./speeches/2015-03-11-FinancialAid.txt,oba,education
2015-04-03,./speeches/2015-04-03-IranNuclearAgreement.txt,oba,international relations
2015-05-09,./speeches/2015-05-09-PacificTrade.txt,oba,economy
2015-06-18,./speeches/2015-06-18-CharlestonShooting.txt,oba,shooting
2015-07-07,./speeches/2015-07-07-ISILPolicy.txt,oba,national security
2015-08-03,./speeches/2015-08-03-CleanPowerPlan.txt,oba,climate
2015-09-24,./speeches/2015-09-24-PopeFrancis.txt,oba,civil rights
2015-10-02,./speeches/2015-10-02-UmpquaShooting.txt,oba,shooting
2015-11-14,./speeches/2015-11-14-ParisTerrorsim.txt,oba,terrorism
2015-12-14,./speeches/2015-12-14-ParisAccords.txt,oba,climate
2016-01-13,./speeches/2016-01-13-StateoftheUnion.txt,oba,multi
2016-02-16,./speeches/2016-02-16-ScaliaDies.txt,oba,multi
2016-03-23,./speeches/2016-03-23-BrusselsTerrorism.txt,oba,terrorism
2016-04-25,./speeches/2016-04-25-HannoverTrade.txt,oba,international relations
2016-05-06,./speeches/2016-05-06-FlintWaterCrisis.txt,oba,multi
2016-06-13,./speeches/2016-06-13-OrlandoShooting.txt,oba,shooting
2016-07-28,./speeches/2016-07-28-DemocraticConvention.txt,oba,multi
2016-08-17,./speeches/2016-08-17-BatonRougeFloods.txt,oba,natural disaster
2016-09-05,./speeches/2016-09-05-G20Summit.txt,oba,economy
2016-11-09,./speeches/2016-11-09-PresidentialElection.txt,oba,multi
2017-01-11,./speeches/2017-01-11-FarewellAddress.txt,oba,multi
