date,source,sentence,depth
2008-06-03,gwb,"I don't know what kind of lives John McCain thinks that celebrities lead, but this has been mine.",4
2008-06-03,gwb,These are my heroes.,2
2008-06-03,gwb,Theirs are the stories that shaped me.,3
2008-06-03,gwb,And it is on their behalf that I intend to win this election and keep our promise alive as President of the United States.,9
2008-06-03,gwb,What is that promise?,2
2008-06-03,gwb,"It's a promise that says each of us has the freedom to make of our own lives what we will, but that we also have the obligation to treat each other with dignity and respect.",9
2008-06-03,gwb,"It's a promise that says the market should reward drive and innovation and generate growth, but that businesses should live up to their responsibilities to create American jobs, look out for American workers, and play by the rules of the road.",8
2008-06-03,gwb,"Ours is a promise that says government cannot solve all our problems, but what it should do is that which we cannot do for ourselves – protect us from harm and provide every child a decent education; keep our water clean and our toys safe; invest in new schools and new roads and new science and technology.",7
2008-06-03,gwb,"Our government should work for us, not against us.",2
2008-06-03,gwb,"It should help us, not hurt us.",2
2008-06-03,gwb,"It should ensure opportunity not just for those with the most money and influence, but for every American who's willing to work.",7
2008-06-03,gwb,"That's the promise of America – the idea that we are responsible for ourselves, but that we also rise or fall as one nation; the fundamental belief that I am my brother's keeper; I am my sister's keeper.",8
2008-06-03,gwb,That's the promise we need to keep.,4
2008-06-03,gwb,That's the change we need right now.,4
2008-06-03,gwb,So let me spell out exactly what that change would mean if I am President.,4
2008-06-03,gwb,"Change means a tax code that doesn't reward the lobbyists who wrote it, but the American workers and small businesses who deserve it.",5
2008-06-03,gwb,"Unlike John McCain, I will stop giving tax breaks to corporations that ship jobs overseas, and I will start giving them to companies that create good jobs right here in America.",8
2008-06-03,gwb,"I will eliminate capital gains taxes for the small businesses and the start-ups that will create the high-wage, high-tech jobs of tomorrow.",7
2008-06-03,gwb,I will cut taxes – cut taxes – for 95% of all working families.,5
2008-06-03,gwb,"Because in an economy like this, the last thing we should do is raise taxes on the middle-class.",4
2008-06-03,gwb,"And for the sake of our economy, our security, and the future of our planet, I will set a clear goal as President: in ten years, we will finally end our dependence on oil from the Middle East.",10
2008-06-03,gwb,"Washington's been talking about our oil addiction for the last thirty years, and John McCain has been there for twenty-six of them.",5
2008-06-03,gwb,"In that time, he's said no to higher fuel-efficiency standards for cars, no to investments in renewable energy, no to renewable fuels.",5
2008-06-03,gwb,"And today, we import triple the amount of oil as the day that Senator McCain took office.",5
2008-06-03,gwb,"Now is the time to end this addiction, and to understand that drilling is a stop-gap measure, not a long-term solution.",6
2008-06-03,gwb,Not even close.,1
2008-06-03,gwb,"As President, I will tap our natural gas reserves, invest in clean coal technology, and find ways to safely harness nuclear power.",6
2008-06-03,gwb,"I'll help our auto companies re-tool, so that the fuel-efficient cars of the future are built right here in America.",5
2008-06-03,gwb,I'll make it easier for the American people to afford these new cars.,4
2008-06-03,gwb,"And I'll invest 150 billion dollars over the next decade in affordable, renewable sources of energy – wind power and solar power and the next generation of biofuels; an investment that will lead to new industries and five million new jobs that pay well and can't ever be outsourced.",7
2008-06-03,gwb,"America, now is not the time for small plans.",4
2008-06-03,gwb,"Now is the time to finally meet our moral obligation to provide every child a world-class education, because it will take nothing less to compete in the global economy.",7
2008-06-03,gwb,Michelle and I are only here tonight because we were given a chance at an education.,4
2008-06-03,gwb,And I will not settle for an America where some kids don't have that chance.,5
2008-06-03,gwb,I'll invest in early childhood education.,3
2008-06-03,gwb,"I'll recruit an army of new teachers, and pay them higher salaries and give them more support.",4
2008-06-03,gwb,"And in exchange, I'll ask for higher standards and more accountability.",4
2008-06-03,gwb,"And we will keep our promise to every young American – if you commit to serving your community or your country, we will make sure you can afford a college education.",7
2008-06-03,gwb,"Now is the time to finally keep the promise of affordable, accessible health care for every single American.",8
2008-06-03,gwb,"If you have health care, my plan will lower your premiums.",3
2008-06-03,gwb,"If you don't, you'll be able to get the same kind of coverage that members of Congress give themselves.",7
2008-06-03,gwb,"And as someone who watched my mother argue with insurance companies while she lay in bed dying of cancer, I will make certain those companies stop discriminating against those who are sick and need care the most.",7
2008-06-03,gwb,"Now is the time to help families with paid sick days and better family leave, because nobody in America should have to choose between keeping their jobs and caring for a sick child or ailing parent.",9
2008-06-03,gwb,"Now is the time to change our bankruptcy laws, so that your pensions are protected ahead of CEO bonuses; and the time to protect Social Security for future generations.",6
2008-06-03,gwb,"And now is the time to keep the promise of equal pay for an equal day's work, because I want my daughters to have exactly the same opportunities as your sons.",6
2008-06-03,gwb,"Now, many of these plans will cost money, which is why I've laid out how I'll pay for every dime – by closing corporate loopholes and tax havens that don't help America grow.",9
2008-06-03,gwb,"But I will also go through the federal budget, line by line, eliminating programs that no longer work and making the ones we do need work better and cost less – because we cannot meet twenty-first century challenges with a twentieth century bureaucracy.",7
2008-06-03,gwb,"And Democrats, we must also admit that fulfilling America's promise will require more than just money.",5
2008-06-03,gwb,"It will require a renewed sense of responsibility from each of us to recover what John F. Kennedy called our ""intellectual and moral strength.""",7
2008-06-03,gwb,"Yes, government must lead on energy independence, but each of us must do our part to make our homes and businesses more efficient.",5
2008-06-03,gwb,"Yes, we must provide more ladders to success for young men who fall into lives of crime and despair.",10
2008-06-03,gwb,But we must also admit that programs alone can't replace parents; that government can't turn off the television and make a child do her homework; that fathers must take more responsibility for providing the love and guidance their children need.,7
2008-06-03,gwb,Individual responsibility and mutual responsibility – that's the essence of America's promise.,5
2008-06-03,gwb,"And just as we keep our keep our promise to the next generation here at home, so must we keep America's promise abroad.",7
2008-06-03,gwb,"If John McCain wants to have a debate about who has the temperament, and judgment, to serve as the next Commander-in-Chief, that's a debate I'm ready to have.",7
2008-06-03,gwb,"For while Senator McCain was turning his sights to Iraq just days after 9/11, I stood up and opposed this war, knowing that it would distract us from the real threats we face.",7
2008-06-03,gwb,"When John McCain said we could just ""muddle through"" in Afghanistan, I argued for more resources and more troops to finish the fight against the terrorists who actually attacked us on 9/11, and made clear that we must take out Osama bin Laden and his lieutenants if we have them in our sights.",7
2008-06-03,gwb,John McCain likes to say that he'll follow bin Laden to the Gates of Hell – but he won't even go to the cave where he lives.,6
2008-06-03,gwb,"And today, as my call for a time frame to remove our troops from Iraq has been echoed by the Iraqi government and even the Bush Administration, even after we learned that Iraq has a $79 billion surplus while we're wallowing in deficits, John McCain stands alone in his stubborn refusal to end a misguided war.",6
2008-06-03,gwb,That's not the judgment we need.,3
2008-06-03,gwb,That won't keep America safe.,1
2008-06-03,gwb,"We need a President who can face the threats of the future, not keep grasping at the ideas of the past.",7
2008-06-03,gwb,You don't defeat a terrorist network that operates in eighty countries by occupying Iraq.,5
2008-06-03,gwb,You don't protect Israel and deter Iran just by talking tough in Washington.,5
2008-06-03,gwb,You can't truly stand up for Georgia when you've strained our oldest alliances.,3
2008-06-03,gwb,"If John McCain wants to follow George Bush with more tough talk and bad strategy, that is his choice – but it is not the change we need.",6
2008-06-03,gwb,We are the party of Roosevelt.,3
2008-06-03,gwb,We are the party of Kennedy.,3
2008-06-03,gwb,So don't tell me that Democrats won't defend this country.,3
2008-06-03,gwb,Don't tell me that Democrats won't keep us safe.,2
2008-06-03,gwb,"The Bush-McCain foreign policy has squandered the legacy that generations of Americans -- Democrats and Republicans – have built, and we are here to restore that legacy.",7
2008-06-03,gwb,"As Commander-in-Chief, I will never hesitate to defend this nation, but I will only send our troops into harm's way with a clear mission and a sacred commitment to give them the equipment they need in battle and the care and benefits they deserve when they come home.",12
2008-06-03,gwb,"I will end this war in Iraq responsibly, and finish the fight against al Qaeda and the Taliban in Afghanistan.",7
2008-06-03,gwb,I will rebuild our military to meet future conflicts.,3
2008-06-03,gwb,"But I will also renew the tough, direct diplomacy that can prevent Iran from obtaining nuclear weapons and curb Russian aggression.",7
2008-06-03,gwb,I will build new partnerships to defeat the threats of the 21st century: terrorism and nuclear proliferation; poverty and genocide; climate change and disease.,7
2008-06-03,gwb,"And I will restore our moral standing, so that America is once again that last, best hope for all who are called to the cause of freedom, who long for lives of peace, and who yearn for a better future.",14
2008-06-03,gwb,These are the policies I will pursue.,3
2008-06-03,gwb,"And in the weeks ahead, I look forward to debating them with John McCain.",5
2008-06-03,gwb,But what I will not do is suggest that the Senator takes his positions for political purposes.,6
2008-06-03,gwb,Because one of the things that we have to change in our politics is the idea that people cannot disagree without challenging each other's character and patriotism.,8
2008-06-03,gwb,"The times are too serious, the stakes are too high for this same partisan playbook.",4
2008-06-03,gwb,So let us agree that patriotism has no party.,4
2008-06-03,gwb,"I love this country, and so do you, and so does John McCain.",4
2008-06-03,gwb,"The men and women who serve in our battlefields may be Democrats and Republicans and Independents, but they have fought together and bled together and some died together under the same proud flag.",5
2008-06-03,gwb,They have not served a Red America or a Blue America – they have served the United States of America.,4
2008-06-03,gwb,"So I've got news for you, John McCain.",4
2008-06-03,gwb,We all put our country first.,2
2008-06-03,gwb,"America, our work will not be easy.",2
2008-06-03,gwb,"The challenges we face require tough choices, and Democrats as well as Republicans will need to cast off the worn-out ideas and politics of the past.",6
2008-06-03,gwb,For part of what has been lost these past eight years can't just be measured by lost wages or bigger trade deficits.,6
2008-06-03,gwb,What has also been lost is our sense of common purpose – our sense of higher purpose.,5
2008-06-03,gwb,And that's what we have to restore.,3
2008-06-03,gwb,"We may not agree on abortion, but surely we can agree on reducing the number of unwanted pregnancies in this country.",9
2008-06-03,gwb,"The reality of gun ownership may be different for hunters in rural Ohio than for those plagued by gang-violence in Cleveland, but don't tell me we can't uphold the Second Amendment while keeping AK-47s out of the hands of criminals.",8
2008-06-03,gwb,"I know there are differences on same-sex marriage, but surely we can agree that our gay and lesbian brothers and sisters deserve to visit the person they love in the hospital and to live lives free of discrimination.",8
2008-06-03,gwb,"Passions fly on immigration, but I don't know anyone who benefits when a mother is separated from her infant child or an employer undercuts American wages by hiring illegal workers.",8
2008-06-03,gwb,This too is part of America's promise – the promise of a democracy where we can find the strength and grace to bridge divides and unite in common effort.,12
2008-06-03,gwb,I know there are those who dismiss such beliefs as happy talk.,6
2008-06-03,gwb,"They claim that our insistence on something larger, something firmer and more honest in our public life is just a Trojan Horse for higher taxes and the abandonment of traditional values.",6
2008-06-03,gwb,And that's to be expected.,2
2008-06-03,gwb,"Because if you don't have any fresh ideas, then you use stale tactics to scare the voters.",3
2008-06-03,gwb,"If you don't have a record to run on, then you paint your opponent as someone people should run from.",4
2008-06-03,gwb,You make a big election about small things.,4
2008-06-03,gwb,And you know what – it's worked before.,2
2008-06-03,gwb,Because it feeds into the cynicism we all have about government.,5
2008-06-03,gwb,"When Washington doesn't work, all its promises seem empty.",2
2008-06-03,gwb,"If your hopes have been dashed again and again, then it's best to stop hoping, and settle for what you already know.",4
2008-06-03,gwb,I get it.,1
2008-06-03,gwb,I realize that I am not the likeliest candidate for this office.,5
2008-06-03,gwb,"I don't fit the typical pedigree, and I haven't spent my career in the halls of Washington.",5
2008-06-03,gwb,But I stand before you tonight because all across America something is stirring.,3
2008-06-03,gwb,What the nay-sayers don't understand is that this election has never been about me.,3
2008-06-03,gwb,It's been about you.,2
2008-06-03,gwb,"For eighteen long months, you have stood up, one by one, and said enough to the politics of the past.",6
2008-06-03,gwb,"You understand that in this election, the greatest risk we can take is to try the same old politics with the same old players and expect a different result.",5
2008-06-03,gwb,"You have shown what history teaches us – that at defining moments like this one, the change we need doesn't come from Washington.",7
2008-06-03,gwb,Change comes to Washington.,2
2008-06-03,gwb,"Change happens because the American people demand it – because they rise up and insist on new ideas and new leadership, a new politics for a new time.",9
2008-06-03,gwb,"America, this is one of those moments.",4
2008-06-03,gwb,"I believe that as hard as it will be, the change we need is coming.",4
2008-06-03,gwb,Because I've seen it.,1
2008-06-03,gwb,Because I've lived it.,1
2008-06-03,gwb,"I've seen it in Illinois, when we provided health care to more children and moved more families from welfare to work.",4
2008-06-03,gwb,"I've seen it in Washington, when we worked across party lines to open up government and hold lobbyists more accountable, to give better care for our veterans and keep nuclear weapons out of terrorist hands.",9
2008-06-03,gwb,And I've seen it in this campaign.,3
2008-06-03,gwb,"In the young people who voted for the first time, and in those who got involved again after a very long time.",7
2008-06-03,gwb,"In the Republicans who never thought they'd pick up a Democratic ballot, but did.",5
2008-06-03,gwb,"I've seen it in the workers who would rather cut their hours back a day than see their friends lose their jobs, in the soldiers who re-enlist after losing a limb, in the good neighbors who take a stranger in when a hurricane strikes and the floodwaters rise.",11
2008-06-03,gwb,"This country of ours has more wealth than any nation, but that's not what makes us rich.",4
2008-06-03,gwb,"We have the most powerful military on Earth, but that's not what makes us strong.",4
2008-06-03,gwb,"Our universities and our culture are the envy of the world, but that's not what keeps the world coming to our shores.",6
2008-06-03,gwb,"Instead, it is that American spirit – that American promise – that pushes us forward even when the path is uncertain; that binds us together in spite of our differences; that makes us fix our eye not on what is seen, but what is unseen, that better place around the bend.",6
2008-06-03,gwb,That promise is our greatest inheritance.,2
2008-06-03,gwb,"It's a promise I make to my daughters when I tuck them in at night, and a promise that you make to yours – a promise that has led immigrants to cross oceans and pioneers to travel west; a promise that led workers to picket lines, and women to reach for the ballot.",7
2008-06-03,gwb,"And it is that promise that forty five years ago today, brought Americans from every corner of this land to stand together on a Mall in Washington, before Lincoln's Memorial, and hear a young preacher from Georgia speak of his dream.",8
2008-06-03,gwb,The men and women who gathered there could've heard many things.,3
2008-06-03,gwb,They could've heard words of anger and discord.,4
2008-06-03,gwb,They could've been told to succumb to the fear and frustration of so many dreams deferred.,8
2008-06-03,gwb,"But what the people heard instead – people of every creed and color, from every walk of life – is that in America, our destiny is inextricably linked.",5
2008-06-03,gwb,"That together, our dreams can be one.",2
2008-06-03,gwb,"""We cannot walk alone,"" the preacher cried.",2
2008-06-03,gwb,"""And as we walk, we must make the pledge that we shall always march ahead.",3
2008-06-03,gwb,"We cannot turn back.""",1
2008-06-03,gwb,"America, we cannot turn back.",1
2008-06-03,gwb,Not with so much work to be done.,4
2008-06-03,gwb,"Not with so many children to educate, and so many veterans to care for.",4
2008-06-03,gwb,Not with an economy to fix and cities to rebuild and farms to save.,3
2008-06-03,gwb,Not with so many families to protect and so many lives to mend.,4
2008-06-03,gwb,"America, we cannot turn back.",1
2008-06-03,gwb,We cannot walk alone.,1
2008-06-03,gwb,"At this moment, in this election, we must pledge once more to march into the future.",4
2008-06-03,gwb,"Let us keep that promise – that American promise – and in the words of Scripture hold firmly, without wavering, to the hope that we confess.",6
2008-06-03,gwb,"Thank you, God Bless you, and and God Bless the United States of America.",5
2008-09-04,gwb,Thank you.,1
2008-09-04,gwb,Thank you all very much.,2
2008-09-04,gwb,Thank you.,1
2008-09-04,gwb,"Tonight, I have a privilege given few Americans: the privilege of accepting our party's nomination for president of the United States.",9
2008-09-04,gwb,Thank you.,1
2008-09-04,gwb,Thanks.,1
2008-09-04,gwb,And I accept it with...,1
2008-09-04,gwb,Thank you.,1
2008-09-04,gwb,"I -- and I accept it with gratitude, humility, and confidence.",5
2008-09-04,gwb,"In my life, no success has come without a good fight, and this nomination wasn't any different.",3
2008-09-04,gwb,That's a tribute to the candidates who opposed me and their supporters.,7
2008-09-04,gwb,They're leaders of great ability who love our country and wish to lead it to better days.,9
2008-09-04,gwb,Their support is an honor that I won't forget.,3
2008-09-04,gwb,I'm grateful to the president of the United States for leading us in these dark days following the worst attack in American history.,8
2008-09-04,gwb,The worst attack on American soil in our history and keeping us safe from another attack that many -- many thought was inevitable.,4
2008-09-04,gwb,"And to the first lady... And to the first lady, Laura Bush, a model of grace and kindness in public and in private.",2
2008-09-04,gwb,And I'm grateful to the 41st president and his bride of 63 years for their outstanding example...... for their outstanding example of honorable service to our country.,7
2008-09-04,gwb,"As always, I'm indebted to my wife, Cindy, and my seven children.",6
2008-09-04,gwb,"You know, the pleasures of family life can seem like a brief holiday from the crowded calendar of our nation's business.",8
2008-09-04,gwb,But I have treasured them all the more and can't imagine a life without the happiness that you've given me.,6
2008-09-04,gwb,"You know, Cindy said a lot of nice things about me tonight.",4
2008-09-04,gwb,"But, in truth, she's more my inspiration than I am hers.",3
2008-09-04,gwb,"Her concern for those less blessed than we are -- victims of land mines, children born in poverty, with birth defects -- shows the measure of her humanity.",8
2008-09-04,gwb,And I know that she will make a great first lady.,3
2008-09-04,gwb,"My friends, when I was growing up, my father was often at sea, and the job of raising my brother, sister and me would fall to my mother alone.",6
2008-09-04,gwb,"Roberta McCain gave us her love of life, her deep interest in the world, her strength, and her belief that we're all meant to use our opportunities to make ourselves useful to our country.",11
2008-09-04,gwb,I wouldn't be here tonight but for the strength of her character.,5
2008-09-04,gwb,"And she doesn't want me to say this, but she's 96 years young.",4
2008-09-04,gwb,My heartfelt thanks to all of you who helped me win this nomination and stood by me when the odds were long.,7
2008-09-04,gwb,I won't let you down.,1
2008-09-04,gwb,I won't let you down.,1
2008-09-04,gwb,I won't let you down.,1
2008-09-04,gwb,"To Americans who have yet to decide who to vote for, thank you for your consideration and the opportunity to win your trust.",6
2008-09-04,gwb,I intend to earn it.,2
2008-09-04,gwb,"And, finally, a word to Senator Obama and his supporters.",4
2008-09-04,gwb,We'll go at it -- we'll go at it over the next two months -- you know that's the nature of this business -- and there are big differences between us.,4
2008-09-04,gwb,But you have my respect and my admiration.,3
2008-09-04,gwb,"Despite our differences, much more unites us than divides us.",3
2008-09-04,gwb,"We are fellow Americans, and that's an association that means more to me than any other.",6
2008-09-04,gwb,We're dedicated to the proposition that all people are created equal and endowed by our creator with inalienable rights.,9
2008-09-04,gwb,No country – no country ever had a greater cause than that.,3
2008-09-04,gwb,And I wouldn't be an American worthy of the name if I didn't honor Senator Obama and his supporters for their achievement.,5
2008-09-04,gwb,"But let there be no doubt, my friends: We're going to win this election.",4
2008-09-04,gwb,"And after we've won, we're going to reach out our hand to any willing patriot, make this government start working for you again, and get this country back on the road to prosperity and peace.",8
2008-09-04,gwb,I know these are tough times for many of you.,6
2008-09-04,gwb,You're worried about...,2
2008-09-04,gwb,"Please, please, please.",1
2008-09-04,gwb,"My friends, my dear friends, please.",2
2008-09-04,gwb,Please don't be diverted by the ground noise and the static.,4
2008-09-04,gwb,"You know, I'm going to talk about it some more.",3
2008-09-04,gwb,"But Americans want us to stop yelling at each other, OK?",5
2008-09-04,gwb,These are tough times for many of you.,5
2008-09-04,gwb,"You're worried about keeping your job or finding a new one, and you're struggling to put food on the table and stay in your home.",6
2008-09-04,gwb,All you've ever asked of your government is to stand on your side and not in your way.,5
2008-09-04,gwb,And that's what I intend to do: stand on your side and fight for your future.,4
2008-09-04,gwb,"And I've found just the right partner to help me shake up Washington, Governor Sarah...",6
2008-09-04,gwb,Governor Sarah Palin of the great state of Alaska.,4
2008-09-04,gwb,"And I want to thank everyone here and all over America for the tremendous, wonderful, warm reception you gave her last night.",6
2008-09-04,gwb,Thank you so much.,2
2008-09-04,gwb,She deserves it.,1
2008-09-04,gwb,What a great beginning.,1
2008-09-04,gwb,"You know, she has an executive experience and a real record of accomplishment.",4
2008-09-04,gwb,"She's tackled tough problems, like energy independence and corruption.",4
2008-09-04,gwb,"She's balanced a budget, cut taxes, and she's taken on the special interests.",4
2008-09-04,gwb,"She's reached across the aisle and asked Republicans, Democrats, and independents to serve in her administration.",5
2008-09-04,gwb,She's the wonderful mother of five children.,4
2008-09-04,gwb,She's -- she's helped run a small business.,3
2008-09-04,gwb,"She's worked with her hands and knows -- and knows what it's like to worry about mortgage payments, and health care, and the cost of gasoline and groceries.",10
2008-09-04,gwb,"She knows where she comes from, and she knows who she works for.",4
2008-09-04,gwb,"She stands up for what's right, and she doesn't let anyone tell her to sit down.",4
2008-09-04,gwb,"I'm very proud to have introduced our next vice president to the country, but I can't wait until I introduce her to Washington.",5
2008-09-04,gwb,"And let me just offer an advance warning to the old, big- spending, do-nothing, me-first, country-second crowd: Change is coming.",5
2008-09-04,gwb,"I'm not -- I'm not in the habit of breaking my promises to my country, and neither is Governor Palin.",7
2008-09-04,gwb,"And when we tell you we're going to change Washington and stop leaving our country's problems for some unluckier generation to fix, you can count on it.",9
2008-09-04,gwb,"And we've... We've got a record of doing just that, and the strength, experience, judgment, and backbone to keep our word to you.",1
2008-09-04,gwb,"You well know I've been called a maverick, someone who......someone who marches to the beat of his own drum.",8
2008-09-04,gwb,Sometimes it's meant as a compliment; sometimes it's not.,4
2008-09-04,gwb,What it really means is I understand who I work for.,4
2008-09-04,gwb,I don't work for a party.,3
2008-09-04,gwb,I don't work for a special interest.,3
2008-09-04,gwb,I don't work for myself.,2
2008-09-04,gwb,I work for you.,2
